0,,11,22
1,Adelaide,-34.9284989,138.6007456
2,London,51.5073509,-0.1277583
3,Melbourne,-37.8136276,144.9630576
4,Liverpool,53.4083714,-2.9915726
5,London via Cork,42.922,-81.2053
6,Hamburg,53.5510846,9.9936819
7,Port Phillip,-37.8464983,144.9666905
8,Sydney,-33.8688197,151.2092955
9,Downs,36.312283,-95.532636
10,California,36.778261,-119.4179324
11,Victoria,36.5714193,-94.7700229
12,Glasgow,55.864237,-4.251806
13,U.K.,55.378051,-3.435973
14,Geelong,-38.1499181,144.3617186
15,Scotland,56.49067119999999,-4.2026458
16,Plymouth,41.9584457,-70.6672621
17,New Zealand,-40.900557,174.885971
18,Leith,55.97552779999999,-3.1665102
19,Port Fairy,-38.3810122,142.2292907
20,Southampton,50.90970040000001,-1.4043509
21,England,52.3555177,-1.1743197
22,Pt Phillip,40.7964325,-75.41561759999999
23,Port Albert,-38.66527800000001,146.688333
24,Calcutta,22.572646,88.36389500000001
25,Norfolk Island,-29.040835,167.954712
26,Gravesend,51.44188399999999,0.370759
27,Southamptom,50.90970040000001,-1.4043509
28,Auckland Island,-50.6921774,166.0799129
29,Bourbon,37.7957092,-94.81059549999999
30,Sheerness,51.44011,0.764158
31,Plymonth,41.9584457,-70.6672621
32,Portland,45.5122308,-122.6587185
33,Hokitika,-42.7173686,170.9665427
34,Portsmouth,43.0717552,-70.7625532
35,Newcastle,54.978252,-1.61778
36,Invercargill,-46.4131866,168.3537731
37,Circular Head,-41.0558621,145.0264296
38,Wanganu,-39.9300887,175.0478901
39,Whaling,36.678384,-96.004204
40,Mauritius,-20.348404,57.55215200000001
41,Auckland,-36.8484597,174.7633315
42,Dunedin,-45.8787605,170.5027976
43,Whaling via Port Davey,-43.32006699999999,145.9135003
44,Otago,-45.47906709999999,170.1547567
45,Canton and Singapore,1.352083,103.819836
46,Swan River,29.967284,-90.090631
47,Isle of France,48.8499198,2.6370411
48,Twofold Bay,-37.0843679,149.9276991
49,Manilla and Batavia,-1,-1
50,Port Louis,-20.1608912,57.5012222
51,Dublin,53.3498053,-6.2603097
52,Hokianga,-35.4333687,173.4842261
53,Port Albert via Port Arthur,-38.66527800000001,146.688333
54,Lizard,37.835886,-95.948668
55,Wreck Reef via Sydney,-33.8688197,151.2092955
56,Port Jackson,-33.8462182,151.2488616
57,Portland Bay,-38.3291667,141.6361111
58,Carlton,37.0852988,-94.5159994
59,Cork,38.9143102,-77.0316599
60,Cape of Good Hope,-34.3568425,18.4739882
61,Port Adelaide,-34.846,138.503
62,Canton,38.3861194,-97.4280895
63,Gordon,37.2255965,-95.7162345
64,Bristol,38.913449,-94.64832899999999
65,Falmouth,41.5532208,-70.60858859999999
66,Greenock,55.95647599999999,-4.771983
67,Honolulu,21.3069444,-157.8583333
68,Havre and King George Island,48.549999,-109.6840887
69,Oporto,29.7531581,-95.38026119999999
70,Melbourne via East Coast,-37.8136276,144.9630576
71,Port Cooper,-43.6032583,172.7193227
72,Doubtful Island Bay,-34.3136111,119.5441667
73,San Francisco,37.7749295,-122.4194155
74,Pt Albert,-38.66527800000001,146.688333
75,Sligo,54.27661029999999,-8.4760888
76,New London,41.3556539,-72.0995209
77,Cowes,50.76278500000001,-1.300533
78,Canton and Manilla,14.5995124,120.9842195
79,Lyttleton,-43.6032583,172.7193227
80,Gibralter,36.140751,-5.353585
81,Quebec,52.9399159,-73.5491361
82,Twofold bay,-37.0843679,149.9276991
83,Spithead,-1,-1
84,Rio,37.380029,-94.70302
85,China,35.86166,104.195397
86,Western Australia,-27.6728168,121.6283098
87,Port Dalrymple,-41.1062504,146.8270951
88,Eden,39.041965,-94.59505899999999
89,Wellington,-41.2864603,174.776236
90,UK,55.378051,-3.435973
91,London/Cape of Good Hope,51.5277744,-0.1440199
92,Hobart,37.6055325,-97.32220679999999
93,Launceston,-41.43322149999999,147.1440875
94,South Seas,26.5256487,-82.1907806
95,San Fransisco,37.7749295,-122.4194155
96,Birmingham,33.5185892,-86.8103567
97,iverpool,53.4083714,-2.9915726
98,Port Nicholson,-41.2864603,174.776236
99,South Australia,-30.0002315,136.2091547
100,Suthampton,50.90970040000001,-1.4043509
101,Southamton,50.90970040000001,-1.4043509
102,NSW,-31.2532183,146.921099
